x, y, z, t
0.000000, 1.000000, 0.000000, 0.531250
0.000000, 0.750000, 0.000000, 0.531250
0.250000, 1.000000, 0.000000, 0.531250
0.000000, 1.000000, 0.000000, 0.531250
0.000000, 0.000000, 0.000000, 0.531250
0.250000, 0.000000, 0.000000, 0.531250
0.000000, 0.250000, 0.000000, 0.531250
0.000000, 0.000000, 0.000000, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.250000, 0.000000, 0.000000, 0.531250
0.500000, 0.000000, 0.000000, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.500000, 0.000000, 0.000000, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.250000, 0.000000, 0.000000, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
1.000000, 0.000000, 0.000000, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
0.750000, 0.000000, 0.000000, 0.531250
1.000000, 0.000000, 0.000000, 0.531250
0.833333, 0.333333, 0.263990, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.833333, 0.333333, 0.263990, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
0.833333, 0.333333, 0.263990, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
1.000000, 0.500000, 0.000000, 0.531250
0.833333, 0.333333, 0.263990, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
1.000000, 0.500000, 0.000000, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.833333, 0.333333, 0.263990, 0.531250
1.000000, 0.500000, 0.000000, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
1.000000, 0.500000, 0.000000, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
1.000000, 1.000000, 0.000000, 0.531250
0.750000, 1.000000, 0.000000, 0.531250
1.000000, 0.750000, 0.000000, 0.531250
1.000000, 1.000000, 0.000000, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
1.000000, 0.750000, 0.000000, 0.531250
0.750000, 1.000000, 0.000000, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.500000, 1.000000, 0.000000, 0.531250
0.250000, 1.000000, 0.000000, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.000000, 0.750000, 0.000000, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.250000, 1.000000, 0.000000, 0.531250
0.000000, 0.750000, 0.000000, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.750000, 0.500000, 0.532468, 0.531250
1.000000, 0.750000, 0.000000, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
1.000000, 0.500000, 0.000000, 0.531250
1.000000, 0.750000, 0.000000, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
0.750000, 1.000000, 0.000000, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.833333, 0.666667, 0.281901, 0.531250
0.750000, 1.000000, 0.000000, 0.531250
0.500000, 1.000000, 0.000000, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.750000, 1.000000, 0.000000, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.666667, 0.833333, 0.217539, 0.531250
0.500000, 1.000000, 0.000000, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.000000, 0.250000, 0.000000, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
0.000000, 0.250000, 0.000000, 0.531250
0.000000, 0.250000, 0.000000, 0.531250
0.250000, 0.000000, 0.000000, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.000000, 0.250000, 0.000000, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.750000, 0.000000, 0.000000, 0.531250
1.000000, 0.250000, 0.000000, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.333333, 0.166667, 0.219377, 0.531250
0.500000, 0.000000, 0.000000, 0.531250
0.750000, 0.000000, 0.000000, 0.531250
0.666667, 0.166667, 0.238767, 0.531250
0.500000, 0.000000, 0.000000, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.500000, 0.500000, 0.859916, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.250000, 1.000000, 0.000000, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.333333, 0.833333, 0.218266, 0.531250
0.250000, 1.000000, 0.000000, 0.531250
0.000000, 0.750000, 0.000000, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
0.166667, 0.666667, 0.284921, 0.531250
0.000000, 0.750000, 0.000000, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
0.166667, 0.333333, 0.285229, 0.531250
0.250000, 0.500000, 0.541235, 0.531250
0.000000, 0.500000, 0.000000, 0.531250
